Nir_610nm,Nir_680nm,Nir_730nm,Nir_760nm,Nir_810nm,Nir_860nm,Blood_Prediction
3039.014209,155.0223694,263.3025391,977.1582642,3004.364746,1807.597583,0
3004.497217,130.275676,238.8200195,886.8849853,2912.215137,1788.550391,0
3011.096045,137.386795,236.7413177,894.1068359,2919.653271,1790.813452,0
3006.273828,139.3779114,231.1981079,898.3196045,2917.79375,1795.339478,0
3007.035205,137.9556885,230.2742401,898.1189819,2921.926025,1799.111231,0
3006.273828,140.5156921,230.9671417,904.3378296,2931.016992,1798.922607,0
3003.73584,137.6712402,232.5839111,904.3378174,2939.281494,1797.225366,0
3003.73584,140.8001343,231.1981079,907.1463257,2934.116211,1799.865527,0
3006.527637,142.7912476,233.5077789,923.1949097,2946.099756,1804.014404,0
3010.588476,148.7645843,238.3580902,941.4501831,2963.455322,1802.882935,0
3157.285498,106.0978805,196.0911011,652.9768432,3125.233545,1736.877808,0
3223.781348,103.8223236,189.6240234,637.5300659,3161.59751,1762.902661,0
3234.948633,100.9778748,185.69758,628.7033447,3154.366016,1764.411352,0
3223.781299,103.2534317,187.5453155,633.7185181,3149.820557,1760.828272,0
3230.887842,104.6756546,190.5478912,640.9404053,3157.465186,1764.411352,0
3229.872607,104.1067657,190.0859589,639.3355347,3155.399072,1762.525513,0
3235.456201,103.2534317,190.0859588,638.131897,3165.316504,1765.165723,0
3238.755615,103.2534317,190.5478912,639.1349243,3168.622363,1766.674365,0
3241.039795,102.6845428,190.316925,636.7276489,3170.688477,1766.108618,0
3245.86211,102.4001007,189.6240234,634.3203491,3173.581055,1768.56023,0
3248.907618,100.9778748,188.007254,630.7094116,3172.547998,1769.314575,0
3250.430518,100.9778748,186.8524201,626.8978882,3173.994238,1769.126001,0
3242.816406,101.8312103,187.7762848,630.5088135,3165.316504,1765.920044,0
3240.278418,101.26232,187.3143494,629.7063721,3164.490088,1765.542871,0
3239.77085,101.8312103,188.4691864,632.5148926,3165.316552,1764.599926,0
3238.248047,102.1156555,190.7788605,637.3294556,3167.589307,1764.599926,0
3233.933349,100.9778748,187.7762817,630.107605,3164.903222,1763.845605,0
3233.172021,100.9778748,188.007254,629.9069824,3166.556152,1763.657031,0
3235.709961,100.6934296,188.007251,630.910022,3165.316455,1764.222778,0
3236.217627,100.1245392,187.3143524,629.1045532,3166.762793,1764.599951,0
2873.535889,257.7069122,224.9619934,847.7665527,2586.179297,1410.812476,0
2926.072754,176.3557251,200.2485138,729.809436,2627.502002,1412.132568,0
2957.544043,175.2179413,207.8704285,739.2379883,2658.907178,1422.316211,0
2963.127686,178.3468323,209.0252655,742.8489014,2664.692383,1425.710791,0
3000.943994,164.6934906,206.7155914,717.3717773,2700.023291,1435.517236,0
3010.588477,159.5734863,205.098819,707.9432617,2708.081104,1436.271558,0
3019.725293,154.7379242,201.1723786,695.5055786,2715.519238,1438.345996,0
3030.63877,155.8757049,200.0175415,696.5086304,2720.271386,1443.626441,0
3036.222412,154.453479,201.8652771,695.7062012,2727.916016,1444.946533,0
3038.506543,156.7290405,203.7130218,700.7213623,2731.635108,1446.26665,0
3045.105371,155.3068146,206.0226898,702.5268432,2740.31289,1447.96394,0
3043.836377,156.4445953,204.8678528,702.928064,2739.486426,1448.90686,0
3053.988477,156.1601501,209.4871979,709.5480957,2751.676563,1450.226953,0
3054.242237,157.0134857,209.7181641,710.1499268,2752.91626,1451.54707,0
3058.303027,160.4268158,216.8781433,723.3899902,2761.800635,1451.735645,0
3064.140478,157.0134857,215.2613739,715.5663208,2766.552734,1453.244336,0
3064.140478,158.7201568,215.7233063,717.1711792,2766.759326,1453.621509,0
