Vis_450nm,Vis_500nm,Vis_550nm,Vis_570nm,Vis_600nm,Vis_650nm,Nir_610nm,Nir_680nm,Nir_730nm,Nir_760nm,Nir_810nm,Nir_860nm,Blood_Prediction
1777.592065,79.43211212,18.08006859,21.90031967,98.47570648,56.12890244,3847.624414,190.5779572,356.8442322,1238.148413,3547.757813,1885.10647,0
1763.209815,81.2698761,18.08006859,22.46186638,99.68647309,56.12890244,3845.086426,192.5690735,358.6919678,1243.965991,3547.757861,1883.786353,0
1762.656665,80.45309143,18.08006859,22.27468414,97.46673431,56.12890244,3842.548438,194.8446289,359.8468017,1251.589087,3546.518115,1883.597754,0
1760.720557,80.86148376,18.08006859,22.08750191,99.28288423,56.12890244,3845.340235,197.9735169,362.1564758,1260.014575,3548.377686,1884.540698,0
1751.04021,82.90344086,18.08006859,22.46186638,97.26493988,56.12890244,3841.533154,198.257962,362.6184143,1259.212158,3550.030615,1883.032007,0
1734.445288,84.94539795,18.08006859,22.46186638,98.47570649,56.12890244,3838.741455,199.680188,364.9280762,1265.029785,3553.95625,1881.334741,0
1738.594019,83.51602631,18.08006859,22.46186638,97.06314545,56.12890244,3834.680517,197.1201813,364.4661438,1262.622485,3550.65044,1879.448877,0
1722.828858,83.51602631,17.44194832,22.08750191,97.46673432,56.12890244,3833.919189,198.8268524,363.7732483,1263.826147,3544.452002,1879.82605,0
1715.63772,82.49504852,17.01653481,21.5259552,97.46673432,56.12890244,3829.350684,201.3868591,362.1564758,1268.038867,3535.154346,1879.637476,0
1707.063696,82.90344086,17.01653481,21.90031967,97.26493988,56.12890244,3827.320361,208.4979767,365.1590515,1285.692334,3532.675098,1880.580371,0
1698.766235,82.08665619,17.22924157,21.71313744,100.090062,56.12890244,3820.467725,210.4890869,365.1590393,1289.704492,3525.856787,1878.12876,0
1697.106738,84.33280945,17.01653481,21.90031967,98.27391205,56.12890244,3819.45249,215.0402008,369.3164612,1304.348828,3529.162598,1877.374439,0
1712.31875,81.88246307,17.65465508,21.90031967,97.66852876,56.12890244,3809.554248,219.5913208,368.8545166,1311.771265,3516.145947,1874.168457,0
1693.511157,88.41672058,17.01653481,22.46186638,98.27391206,56.36774903,3815.13789,218.4535431,371.3951599,1307.759155,3534.327978,1875.677124,0
1693.511157,85.55798492,17.01653481,22.08750191,97.06314545,56.12890244,3817.675928,210.48909,367.6996826,1292.914233,3530.815527,1876.242896,0
1688.53269,85.76217804,17.01653481,22.08750191,97.06314545,56.12890244,3830.365918,213.3335358,373.704834,1307.558569,3548.790918,1880.580395,0
1674.427026,86.57896271,17.01653481,22.46186638,97.66852875,56.12890244,3820.721533,217.3157593,370.471289,1311.971924,3530.608935,1879.260303,0
1444.310815,60.44191742,15.95300102,14.4130312,80.51599884,44.66427765,3345.859668,205.6535278,391.951239,1241.358106,3506.84834,1745.175586,0
1382.356494,60.85030823,15.52758789,13.85148449,82.13035736,45.38081665,3316.16499,234.3824402,419.436322,1323.406494,3473.377002,1728.768579,0
1361.612842,60.23772125,15.10217476,13.85148449,81.32317658,45.14197082,3394.081934,188.0179566,366.0829163,1154.695727,3542.179297,1754.039136,0
1374.33562,59.62513428,15.31488132,13.85148449,81.52497406,44.66427765,3444.33457,188.3024017,411.5834412,1230.324732,3612.841016,1770.634692,0
1359.400195,59.42093887,15.10217476,13.85148449,81.12138367,45.38081741,3464.892383,193.7068543,424.0556701,1247.376343,3636.394971,1777.989551,0
1353.591992,60.03352509,14.88946819,14.03866673,81.9285614,45.38081741,3475.805811,195.1290771,427.0582398,1252.391504,3648.99834,1783.458569,0
1344.741309,60.23772049,14.88946819,14.03866673,81.52497253,45.14197082,3483.166065,192.2846283,427.0582398,1248.178784,3656.436426,1784.967236,0
1343.08186,60.23772049,15.10217476,14.03866673,81.52497253,45.38081741,3488.749658,192.5690735,428.9059814,1251.388477,3663.254639,1787.418872,0
1345.571094,59.62513428,14.88946819,13.66430226,81.3231781,44.66427765,3496.871338,197.4046295,435.3730591,1268.841309,3670.072949,1793.265063,0
1335.890723,60.23772049,14.88946819,14.03866673,80.51599731,45.38081741,3504.73916,197.6890717,440.2233704,1273.455273,3683.296192,1797.036743,0
1342.528687,59.42093887,14.88946819,13.85148449,80.91958771,44.66427765,3514.637403,198.5424072,445.535614,1281.479541,3693.833447,1800.431323,0
1301.317993,59.62513428,15.95300102,13.85148449,76.48010559,42.75350494,3523.26665,197.9735169,445.7665833,1280.877759,3703.750928,1805.145923,0
1301.041406,57.78737411,15.10217476,13.10275555,77.28728332,42.51465835,3527.83501,197.1201813,444.6117432,1276.66499,3704.16416,1805.334522,0
1268.404736,57.99156952,14.88946819,13.10275555,76.48010712,42.51465835,3533.164893,197.1201813,447.6143188,1282.883838,3710.569189,1808.351904,0
1275.872485,57.37898254,14.88946819,13.10275555,76.48010559,42.51465835,3535.95669,197.4046265,448.7691528,1283.084424,3714.494824,1809.483423,0
1262.596533,57.99157028,14.88946819,13.10275555,76.68190002,42.51465835,3537.479541,198.5424073,452.6955994,1289.704468,3718.627099,1810.04917,0
1270.340796,57.37898254,14.88946819,13.10275555,77.08548889,42.27581177,3544.839697,197.9735169,452.6955933,1287.698413,3723.58584,1812.50083,0
1262.043335,57.99157028,14.88946819,13.10275555,76.27831116,42.51465835,3548.900537,196.551294,450.6168884,1280.877759,3727.718115,1815.329614,0
1259.000952,57.99157028,14.88946819,13.10275555,78.09446259,42.75350494,3547.8854,190.8624024,445.3046387,1267.838306,3725.23877,1816.08396,0
1261.766773,57.99156952,14.88946819,13.10275555,77.28728485,42.75350494,3547.633592,190.0088668,443.4589031,1265.232395,3723.372559,1815.708787,0
1961.519067,47.16919861,27.65186882,21.33877296,84.55189057,40.60388794,2979.878516,151.8934753,431.2156555,1032.726477,3520.898096,1621.840283,0
1955.987427,51.66150436,26.8010418,22.64904862,84.753685,42.99235153,3092.820019,124.5867844,481.3355225,1033.127698,3634.948633,1635.041309,0
1961.24248,52.68248291,27.43916206,22.83623085,86.36804047,42.75350494,2899.423584,63.43117066,182.2330749,495.2994843,3166.349658,1480.777881,0
1972.305786,50.64052505,27.43916206,22.46186638,85.56086273,41.79811859,3033.684375,84.48007965,337.2120239,796.4110718,3544.03877,1579.408423,0
1968.433594,52.47828674,28.7154026,23.21059532,85.56086273,42.27581177,3066.424707,94.15119781,364.6971131,844.5568237,3575.237451,1595.061084,0
1967.327295,53.49926453,29.14081612,23.77214203,85.56086273,42.27581177,3059.82583,93.29786529,350.3771546,830.1131104,3560.361231,1595.438232,0
1966.497559,52.06989594,28.07728233,23.02341309,84.753685,42.27581177,3059.064404,95.00453339,364.2351746,844.9580566,3566.146435,1592.798047,0
1964.284863,51.86569977,28.92810936,23.21059532,85.9644516,41.79811859,3058.556836,94.15119781,363.0803467,842.3501465,3562.427392,1591.666528,0
1958.47666,52.68248138,28.50269585,23.39777756,86.77162933,42.51465835,3067.186035,94.435643,358.9229431,841.7483276,3570.485254,1599.775708,0
1959.85957,52.27409134,27.86457558,22.83623085,86.36804047,42.27581177,3081.398975,95.00453491,345.9887695,833.322815,3573.584521,1610.336523,0
1962.348779,51.4573082,27.65186882,22.46186638,86.36804047,42.03696518,3079.876221,97.28009186,362.3874451,853.3835449,3579.989502,1607.884912,0
1963.455127,50.84472122,26.5883358,22.08750191,85.56086273,42.51465835,3072.769678,96.71120453,362.8493774,851.5781006,3575.444043,1603.924585,0
1960.965893,51.86569977,27.22645531,22.27468414,86.97342376,42.75350494,3068.962695,96.14231415,361.9255005,848.3683716,3568.625781,1601.472949,0
1965.94436,51.04891662,28.28998909,22.83623085,86.5698349,42.27581177,3073.023486,96.71120453,366.0829163,851.5780884,3576.270508,1602.604492,0
1964.561474,50.43633041,28.28998909,22.83623085,85.15727387,41.55927277,3073.784912,96.711203,365.3900147,852.5811157,3573.17124,1603.170215,0
1959.583008,51.25311279,29.56622963,23.21059532,84.55189057,41.79811859,3075.561524,96.42675934,363.542273,850.1738281,3572.758057,1603.170239,0
1960.412719,51.4573082,29.77893639,23.39777756,85.3590683,41.55927353,3075.307715,95.57342377,366.5448425,850.3744385,3579.989502,1601.472973,0
1960.41272,51.86569977,29.56622963,23.21059532,85.9644516,41.55927353,3074.038721,95.57342377,361.9255005,845.1586548,3574.617529,1600.907226,0
1960.412744,51.86569977,29.35352287,23.02341309,85.3590683,41.79811859,3074.038672,95.57342377,364.6971131,847.1647339,3574.410986,1599.209937,0
1961.79563,49.61954727,29.56622963,22.64904862,85.9644516,40.60388947,3076.830567,95.28897858,363.7732422,844.3562256,3578.129932,1599.209937,0
1527.562012,75.7565918,32.75682907,25.26959991,67.19756164,38.69311676,2890.540527,104.3912094,281.7799004,551.4695465,2585.972705,1610.147974,0
1523.413257,79.02372131,32.1187088,25.45678215,66.99576721,39.40965652,2644.099658,43.23559647,46.19342804,85.65932465,1716.130518,1457.016064,0
1522.860083,79.63630829,32.1187088,25.45678215,69.01371155,39.40965652,2735.214258,45.22670974,48.27213288,101.9085221,1902.908936,1523.775562,0
1517.605054,80.6572876,31.69329567,25.45678215,67.60115051,38.93196334,2750.188525,46.36448898,49.88890228,121.1668243,1997.33125,1575.636694,0
